53,54,55,56,57,58,59,60,61,62,63,64,65;59,60,61,62,63,64,65,66,67,68,69,70,71,72
99,100,101,102,103,104,105;88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
9,10,11;33,34,35
74,75,76,77,78,79,80,81,82,83,84,85,86,87,88;56,57,58,59,60,61,62,63
90,91,92,93,94,95,96,97,98,99,100;55,56,57,58,59,60,61,62,63,64,65,66
89,90,91,92,93,94,95,96,97,98,99,100,101,102;70,71,72,73,74,75,76,77,78,79,80
9,10,11;11,12,13
76,77,78,79,80,81,82,83,84;65,66,67,68,69,70,71,72,73,74
64,65,66,67,68,69,70,71;53,54,55,56,57,58,59,60
56,57,58,59,60,61,62,63,64,65,66,67,68,69;61,62,63,64,65,66,67,68,69,70,71,72
62,63,64,65,66,67,68,69,70,71,72,73,74,75;97,98,99,100,101,102,103,104
81,82,83,84,85,86,87,88,89,90,91,92,93,94,95;85,86,87,88,89,90,91,92,93,94,95,96
90,91,92,93,94,95,96,97;59,60,61,62,63,64
50,51,52,53,54,55,56,57,58,59;92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
1,2,3,4;3,4,5,6
78,79,80,81,82,83,84;76,77,78,79,80
60,61,62,63,64,65,66,67,68,69,70,71,72,73;69,70,71,72,73,74
99,100,101,102,103,104,105,106,107,108,109,110;54,55,56,57,58,59,60,61,62,63,64,65
96,97,98,99,100,101,102,103,104,105,106,107,108;62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
20,25,36,45,89;25,36,77,88,98
